IDENTIFIER	VALUE
Solyc01g066890	0.174656116
Solyc01g066900	0.632844705
Solyc01g066940	-0.094215318
Solyc01g067000	-0.115658283
Solyc01g067010	-0.692899267
Solyc01g067020	-0.509282277
Solyc01g067040	-1.451675643
Solyc01g067070	0.275794049
Solyc01g067080	0.166988833
Solyc01g067090	0.122746352
Solyc01g067100	0.096236098
Solyc01g067120	-0.484684134
Solyc01g067200	0.177080178
Solyc01g067210	-0.008025479
Solyc01g067220	-0.191766991
Solyc01g067250	-0.17536007
Solyc01g067255	0.558273177
Solyc01g067270	0.384087616
Solyc01g067280	-0.105106839
Solyc01g067290	0.075047917
Solyc01g067295	1.197390075
Solyc01g067300	-2.11094693
Solyc01g067330	0.155321907
Solyc01g067360	-0.316818197
Solyc01g067380	-0.172248615
Solyc01g067390	-0.053532323
Solyc01g067400	-0.006784961
Solyc01g067443	0.184610986
Solyc01g067460	-1.46294766
Solyc01g067480	-0.061568349
Solyc01g067490	-0.075889605
Solyc01g067500	-0.113831045
Solyc01g067510	1.900123197
Solyc01g067530	-0.292475971
Solyc01g067550	0.237121243
Solyc01g067560	-0.057651594
Solyc01g067570	-0.297871346
Solyc01g067580	0.041093793
Solyc01g067590	0.180264038
Solyc01g067600	-0.050422473
Solyc01g067620	-1.05444904
Solyc01g067630	0.340572875
Solyc01g067640	0.756001792
Solyc01g067660	-0.505562266
Solyc01g067680	0.316822618
Solyc01g067690	0.42475504
Solyc01g067700	0.262877812
Solyc01g067710	-0.172896474
Solyc01g067720	0.339689006
Solyc01g067730	0.55666015
Solyc01g067740	0.691880457
Solyc01g067750	0.509429351
Solyc01g067790	0.098041527
Solyc01g067800	-0.220175515
Solyc01g067820	0.151290789
Solyc01g067830	-0.524269996
Solyc01g067890	-0.102257441
Solyc01g067900	0.485722025
Solyc01g067910	0.876446925
Solyc01g067930	0.407049824
Solyc01g067940	0.326542866
Solyc01g068000	-0.271476456
Solyc01g068020	-0.416563406
Solyc01g068030	0.373892357
Solyc01g068045	0.144199182
Solyc01g068050	-0.184403834
Solyc01g068060	0.261591228
Solyc01g068070	-0.056607132
Solyc01g068080	2.197495536
Solyc01g068100	-0.12173235
Solyc01g068130	0.311786135
Solyc01g068140	-0.70239632
Solyc01g068150	-0.11469267
Solyc01g068160	-0.159258731
Solyc01g068170	-0.258219854
