Geneid	PI127826_F1	Elite_02	PI127826	F2-127	F2-151	F2-28	F2-411	F2-445	F2-73
mRNA:Solyc00g500210.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500211.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500212.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500213.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500214.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g322630.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500215.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500216.1.1	135	0	0	22	12	9	15	0	12
mRNA:Solyc00g500217.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500218.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g266110.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g254910.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500219.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500220.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500221.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500222.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g198360.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500223.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g036520.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g052540.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g052530.2.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500224.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g047180.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g047190.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g047200.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500225.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500226.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500227.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500228.1.1	8	16	2	92	46	12	86	310	34
mRNA:Solyc00g500229.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500230.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500231.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500232.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500233.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500234.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500235.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500236.1.1	0	0	0	0	0	0	0	0	2
mRNA:Solyc00g500237.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g230070.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g230060.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g025300.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g025290.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500238.1.1	2	0	4	6	1	0	5	14	4
mRNA:Solyc00g020040.1.1	7	5	84	38	14	4	56	66	21
mRNA:Solyc00g020030.1.1	9	11	3	145	59	8	121	571	60
mRNA:Solyc00g020020.2.1	23	20	60	384	169	26	435	1539	163
mRNA:Solyc00g020010.1.1	18	13	14	153	88	22	181	562	73
mRNA:Solyc00g020000.1.1	2	6	0	173	90	30	198	713	87
mRNA:Solyc00g019990.1.1	0	0	12	89	58	18	184	662	57
mRNA:Solyc00g019980.2.1	10	3	75	306	157	34	500	2116	145
mRNA:Solyc00g019970.2.1	18	44	32	99	46	17	131	623	35
mRNA:Solyc00g019950.1.1	13	49	35	68	20	7	78	362	36
mRNA:Solyc00g500239.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500240.1.1	0	0	0	6	10	0	6	6	0
mRNA:Solyc00g500241.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g036530.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500242.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500243.1.1	1	0	0	4	4	2	4	7	1
mRNA:Solyc00g500244.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500245.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500246.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g007450.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g016590.1.1	0	0	0	0	0	0	0	0	0
